[2021-10-31T14:06:31.558+0300][0.004s][debug][gc] ConcGCThreads: 2 offset 16
[2021-10-31T14:06:31.558+0300][0.004s][debug][gc] ParallelGCThreads: 8
[2021-10-31T14:06:31.559+0300][0.004s][debug][gc] Initialize mark stack with 4096 chunks, maximum 16384
[2021-10-31T14:06:31.572+0300][0.018s][info ][gc] Using G1
[2021-10-31T14:06:31.582+0300][0,028s][info ][gc] Periodic GC disabled
[2021-10-31T14:06:31.752+0300][0,197s][info ][gc] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 82M->23M(1500M) 24,613ms
[2021-10-31T14:06:31.813+0300][0,258s][info ][gc] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 97M->45M(1500M) 30,456ms
[2021-10-31T14:06:31.899+0300][0,345s][info ][gc] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 117M->66M(1500M) 30,172ms
[2021-10-31T14:06:31.974+0300][0,420s][info ][gc] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 131M->80M(1500M) 22,396ms
[2021-10-31T14:06:32.080+0300][0,525s][info ][gc] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 176M->109M(1500M) 28,084ms
[2021-10-31T14:06:32.231+0300][0,677s][info ][gc] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 245M->151M(1500M) 40,130ms
[2021-10-31T14:06:32.383+0300][0,828s][info ][gc] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 290M->180M(1500M) 40,141ms
[2021-10-31T14:06:32.578+0300][1,023s][info ][gc] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 368M->239M(1500M) 48,313ms
[2021-10-31T14:06:32.830+0300][1,276s][info ][gc] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 470M->317M(1500M) 74,121ms
[2021-10-31T14:06:33.094+0300][1,539s][info ][gc] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 530M->351M(1500M) 52,227ms
[2021-10-31T14:06:33.985+0300][2,430s][info ][gc] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 1220M->328M(1500M) 10,199ms
[2021-10-31T14:06:34.834+0300][3,280s][info ][gc] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 1220M->506M(1500M) 198,846ms
[2021-10-31T14:06:35.433+0300][3,879s][info ][gc] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 1160M->509M(1500M) 118,287ms
[2021-10-31T14:06:35.929+0300][4,375s][info ][gc] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 1128M->451M(1500M) 35,540ms
[2021-10-31T14:06:36.591+0300][5,037s][info ][gc] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 1152M->590M(1500M) 149,490ms
[2021-10-31T14:06:37.081+0300][5,527s][info ][gc] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 1141M->584M(1500M) 85,536ms
[2021-10-31T14:06:37.638+0300][6,084s][info ][gc] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 1137M->697M(1500M) 154,235ms
[2021-10-31T14:06:38.066+0300][6,511s][info ][gc] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 1152M->705M(1500M) 91,535ms
[2021-10-31T14:06:38.517+0300][6,962s][info ][gc] GC(18) Pause Young (Normal) (G1 Evacuation Pause) 1152M->796M(1500M) 126,787ms
[2021-10-31T14:06:38.850+0300][7,296s][info ][gc] GC(19) Pause Young (Concurrent Start) (G1 Evacuation Pause) 1176M->782M(1500M) 51,893ms
[2021-10-31T14:06:38.850+0300][7,296s][info ][gc] GC(20) Concurrent Cycle
[2021-10-31T14:06:38.883+0300][7,328s][debug][gc] GC(20) Reclaimed 688 empty regions
[2021-10-31T14:06:38.883+0300][7,329s][info ][gc] GC(20) Pause Remark 806M->118M(1500M) 1,043ms
[2021-10-31T14:06:38.897+0300][7,342s][info ][gc] GC(20) Pause Cleanup 133M->133M(1500M) 0,173ms
[2021-10-31T14:06:38.901+0300][7,347s][info ][gc] GC(20) Concurrent Cycle 50,810ms
[2021-10-31T14:06:39.269+0300][7,715s][info ][gc] GC(21) Pause Young (Normal) (G1 Evacuation Pause) 493M->173M(1500M) 106,841ms
[2021-10-31T14:06:39.996+0300][8,441s][info ][gc] GC(22) Pause Young (Normal) (G1 Evacuation Pause) 1016M->214M(1500M) 102,464ms
[2021-10-31T14:06:40.642+0300][9,088s][info ][gc] GC(23) Pause Young (Normal) (G1 Evacuation Pause) 1017M->174M(1500M) 59,538ms
[2021-10-31T14:06:41.280+0300][9,725s][info ][gc] GC(24) Pause Young (Normal) (G1 Evacuation Pause) 1017M->141M(1500M) 22,198ms
[2021-10-31T14:06:42.084+0300][10,530s][info ][gc] GC(25) Pause Young (Normal) (G1 Evacuation Pause) 1017M->313M(1500M) 166,436ms
[2021-10-31T14:06:42.780+0300][11,226s][info ][gc] GC(26) Pause Young (Normal) (G1 Evacuation Pause) 1079M->349M(1500M) 134,507ms
[2021-10-31T14:06:43.387+0300][11,833s][info ][gc] GC(27) Pause Young (Normal) (G1 Evacuation Pause) 1063M->330M(1500M) 83,382ms
[2021-10-31T14:06:43.970+0300][12,415s][info ][gc] GC(28) Pause Young (Normal) (G1 Evacuation Pause) 1071M->276M(1500M) 39,352ms
[2021-10-31T14:06:44.753+0300][13,199s][info ][gc] GC(29) Pause Young (Normal) (G1 Evacuation Pause) 1101M->439M(1500M) 183,238ms
[2021-10-31T14:06:45.370+0300][13,816s][info ][gc] GC(30) Pause Young (Normal) (G1 Evacuation Pause) 1095M->462M(1500M) 136,645ms
